Zip Code,Sale (Dollars)
50002,5851.2
50003,47716.1
50006,12280.24
50009,298406.69
50010,932695.71
50014,48778.93
50020,10402.47
50021,504166.37
50022,119981.49
50023,213453.64
50025,16634.21
50028,3304.23
50033,5460.68
50035,11611.98
50036,169638.48
50044,1896.0
50046,2116.42
50047,28936.04
50048,5143.62
50049,48200.39
50054,15908.13
50056,3797.34
50058,10816.13
50060,10268.42
50061,2579.04
50069,9709.74
50071,2011.62
50072,3110.07
50075,7412.66
50076,3208.02
50107,3897.19
50109,4819.56
50111,136794.53
50112,118141.07
50115,9645.68
50122,4665.08
50123,2665.2
50124,13357.38
50125,190745.51
50126,104255.49
50129,88036.67
50130,4792.82
50131,170968.11
50135,3505.71
50136,1472.67
50138,94150.23
50140,8486.0
50142,8357.41
50144,11319.28
50150,812.44
50156,10080.72
50158,340072.2
50160,2542.86
50161,3689.34
50162,984.3
50163,16282.74
50170,8496.98
50171,29572.98
50201,47261.56
50207,2900.96
50208,168031.62
50210,3520.97
50211,80021.72
50212,9273.89
50213,79176.78
50216,23077.39
50219,120873.21
50220,64397.04
50225,8741.23
50226,32059.23
50228,3022.79
50237,159.48
50240,3541.48
50244,5417.73
50247,5783.16
50248,27078.66
50249,5456.39
50250,23893.08
50251,2685.0
50261,2061.12
50263,196723.52
50265,508113.55
50266,678653.2
50273,88099.18
50276,3264.78
50300,15324.35
50309,40599.8
50310,235504.62
50311,692932.41
50312,170166.05
50313,72996.95
50314,1336470.16
50315,337156.25
50316,161634.09
50317,434737.1
50320,1306281.74
50321,228310.03
50322,389398.0
50323,14517.33
50324,9781.07
50325,93056.74
50327,25512.08
50401,480121.7
50421,34198.21
50423,14341.59
50424,8672.07
50428,201903.11
50430,3218.58
50435,21420.09
50436,70874.18
50438,19454.67
50441,59988.6
50450,15812.71
50452,1380.42
50456,3011.24
50458,4407.97
50459,34537.61
50461,30764.45
50466,2854.23
50469,9375.57
50472,17835.17
50475,3379.62
50483,27726.27
50501,466516.14
50511,133792.51
50514,2467.62
50517,39691.95
50525,15696.19
50529,2487.74
50530,7354.9
50533,38063.5
50535,2979.6
50536,61557.65
50540,2077.8
50541,1773.6
50542,2300.04
50543,12564.84
50548,57166.91
50554,13852.94
50563,15245.07
50569,1962.12
50574,26089.73
50579,6526.29
50581,2772.86
50583,36138.1
50585,10583.17
50588,201918.63
50590,4015.07
50595,86586.14
50597,15471.14
50601,8305.0
50602,10962.06
50606,3040.01
50613,626841.53
50616,123574.45
50619,7140.03
50621,6163.34
50622,12377.29
50627,33558.39
50628,8580.56
50629,5073.54
50630,5493.33
50634,407.61
50635,4133.38
50636,4597.69
50638,26572.04
50641,3893.86
50643,5551.01
50644,109632.17
50647,21120.56
50648,9385.27
50651,14929.26
50658,6267.04
50659,23052.35
50662,100761.83
50665,11399.85
50667,7398.2
50669,3598.59
50674,11533.32
50675,12936.39
50676,20263.54
50677,162902.8
50680,2624.34
50682,6061.02
50701,260088.03
50702,480897.94
50703,481993.43
50707,57428.42
50801,112822.47
50830,3262.08
50833,7925.01
50841,12441.71
50846,8912.49
50849,16924.57
50851,7056.08
50854,18223.17
50864,1827.87
51001,5469.42
51002,1919.76
51004,10378.52
51005,2061.06
51012,80297.32
51023,16325.88
51025,29710.78
51027,3151.05
51028,5720.22
51031,146693.93
51034,29926.73
51035,4774.9
51038,1001.25
51040,37852.8
51041,64439.46
51046,10048.44
51050,12552.2
51053,1056.37
51054,27773.39
51055,10755.4
51058,4147.68
51101,73575.5
51103,260091.81
51104,148875.14
51105,127885.1
51106,499156.3
51108,94508.66
51109,15839.02
51201,113488.4
51237,5311.23
51238,2445.8
51240,18218.15
51241,29029.79
51245,10093.0
51246,43846.38
51247,11458.13
51248,8158.8
51249,30357.63
51250,98664.03
51301,176608.81
51331,50460.93
51334,65751.85
51338,641.01
51342,6440.32
51346,19639.4
51347,4047.36
51351,153363.7
51355,3744.67
51358,3566.29
51360,241860.59
51401,279755.21
51442,144150.21
51443,4010.53
51445,46483.3
51449,14081.67
51450,21592.32
51453,139.5
51455,12753.54
51461,11343.97
51462,2329.61
51466,2256.84
51501,714195.06
51503,480707.64
51510,12065.97
51521,42874.99
51526,2874.01
51529,17895.87
51530,92.5
51534,39749.51
51535,420.81
51537,103747.85
51546,8929.79
51551,3225.12
51553,898.71
51555,29800.19
51559,5029.37
51560,14099.19
51561,12445.33
51566,76745.23
51575,2318.21
51577,5539.4
51579,8100.28
51601,83944.66
51632,66255.45
51640,3230.45
51653,327.18
52001,654800.67
52002,234547.29
52003,102742.23
52031,28467.36
52033,19161.93
52036,3552.68
52037,2118.0
52040,60948.95
52042,6008.61
52043,9525.33
52046,2582.52
52052,31249.87
52053,9160.49
52057,44909.74
52060,118468.16
52068,5372.39
52076,6853.5
52079,5788.56
52084,47758.4
52087,52108.02
52101,135558.11
52136,85914.3
52142,12758.58
52144,13475.13
52146,4105.18
52151,10476.62
52154,9644.54
52159,22075.12
52162,4436.5
52166,9769.08
52172,80006.46
52175,28841.06
52205,69972.84
52207,2661.39
52208,33868.17
52211,13169.49
52213,9718.78
52214,9539.6
52223,524.8
52224,4898.46
52227,4725.85
52228,3999.65
52233,35974.7
52240,1083766.44
52241,629168.05
52245,58143.45
52246,112431.65
52248,2570.52
52253,11519.57
52254,3187.39
52301,40774.03
52302,272608.96
52303,10773.11
52306,4415.1
52310,55677.94
52314,270690.93
52316,1301.32
52317,140754.43
52324,5033.04
52327,30176.89
52328,123.6
52332,10709.11
52333,25360.65
52336,4796.7
52337,2087.76
52338,41836.22
52340,11336.63
52342,60216.59
52345,3011.52
52347,5207.64
52349,32474.81
52351,2884.64
52352,2790.5
52353,143363.33
52356,12228.07
52358,9302.32
52361,31483.17
52401,309121.33
52402,1170855.31
52403,146527.24
52404,467371.03
52405,272490.72
52411,133543.9
52501,310672.94
52531,33088.56
52537,13197.52
52544,91205.88
52553,3949.21
52554,3515.94
52556,104251.67
52565,18551.69
52571,7321.28
52577,152501.99
52590,469.62
52591,16536.59
52601,337166.26
52623,1361.74
52625,2879.82
52626,3014.28
52627,133780.73
52632,319445.39
52637,12844.99
52639,2899.78
52641,145763.64
52653,11515.96
52655,110326.37
52656,26461.68
52722,674667.22
52726,10346.51
52728,5168.18
52730,15437.65
52732,324164.03
52733,31079.19
52738,19186.65
52742,40220.16
52747,8868.55
52748,54349.9
52751,4509.28
52753,68762.55
52761,325404.41
52768,2469.86
52772,48280.0
52776,21199.14
52777,1665.08
52778,11482.04
52801,246.4
52802,124509.64
52803,131600.6
52804,458020.61
52806,218498.82
52807,735109.35
56201,4396.2
